id,year,day,lon,lat,tno2,temp,et,sp,tp,wd,ws,pop,building,road,parking,ndvi,NO2
11,2021,261,114.1820905,22.3764958,67.5414199829102,301.160064697266,-0.0819967314600945,99933.3046875,0.0455633550882339,167.523544311523,3.30217385292053,146.51953125,3542057.5,5773.041015625,92.1150817871094,5571,11
12,2021,261,114.16871,22.322169,105.218452453613,301.229888916016,-0.0760106146335602,99966.359375,0.0367480181157589,168.174545288086,3.43177938461304,747.296691894531,14594804,7989.83642578125,308.045318603516,2904,74
13,2021,261,114.1412676,22.2848775,87.9269485473633,301.275115966797,-0.0519389435648918,100036.625,0.0247133765369654,168.304763793945,3.4069128036499,878.608520507813,9484429,7007.2744140625,567.064819335938,6011,26
14,2021,261,114.1573973,22.2475352,64.8179321289063,301.336181640625,-0.0493652261793613,100105.578125,0.0208819974213839,168.748275756836,3.58510947227478,65.4896621704102,3044803.5,3876.92065429688,260.136474609375,4650,19
15,2021,261,114.2167934,22.2827772,69.1075973510742,301.32275390625,-0.0767370834946632,100095.546875,0.0339798219501972,168.797637939453,3.73516869544983,1421.89978027344,2995995.75,4814.8349609375,6.94431924819946,6793,33
16,2021,261,113.9405757,22.2885187,82.3050079345703,301.447692871094,-0.0437775477766991,100355.484375,0.0234214924275875,166.698852539063,3.07232141494751,45.6981201171875,965836.125,4032.33203125,0,3436,16
17,2021,261,114.1805181,22.2801689,82.1389617919922,301.304962158203,-0.0746769532561302,100053.453125,0.0332796536386013,168.679840087891,3.60928177833557,429.867279052734,7206084,6894.8623046875,257.443572998047,2516,61
18,2021,261,114.1565745,22.2820584,86.2218933105469,301.288116455078,-0.0598254390060902,100045.2734375,0.0275212991982698,168.457336425781,3.48836874961853,83.5950317382813,8509086,8754.4130859375,506.304748535156,977,60
1,2021,262,114.0201883,22.4449437,58.0712242126465,300.536254882813,-0.0176608674228191,100338.6953125,0.0253311060369015,145.924224853516,2.60435605049133,47.300910949707,3953495.75,4815.68115234375,0,3567,21
3,2021,262,114.1258166,22.4969545,55.5346145629883,300.435363769531,-0.0740832164883614,100169.6796875,0.113613396883011,147.229934692383,2.49989724159241,156.301162719727,3624076.25,5897.4716796875,0,4179,16
4,2021,262,114.3581838,22.4712708,48.6476936340332,300.555694580078,-0.0366623997688293,100422.109375,0.0379972755908966,147.394088745117,3.23899292945862,2.12723422050476,199027.984375,417.544128417969,0,-3000,5
5,2021,262,114.2286697,22.309823,52.947437286377,300.488586425781,-0.072957955300808,100120.3203125,0.0798359662294388,148.836441040039,3.23271250724792,571.750061035156,3221332.75,5677.51318359375,41.4476928710938,3574,24
6,2021,262,114.1572091,22.3310969,60.6700744628906,300.402557373047,-0.0739025920629501,99963.078125,0.083314910531044,148.237762451172,2.99909353256226,557.522583007813,10587726,6553.90625,297.494720458984,3300,29
7,2021,262,114.1269531,22.3568159,64.6501770019531,300.376861572266,-0.0763131603598595,99950.8984375,0.0922792926430702,147.885543823242,2.85408663749695,231.99870300293,2478207,5969.11767578125,177.659118652344,3123,18
8,2021,262,114.1120975,22.3716276,65.8594131469727,300.381652832031,-0.0749111175537109,99981.03125,0.0951916426420212,147.758636474609,2.77157974243164,672.036499023438,5056594,6791.02880859375,166.265670776367,1655,23
9,2021,262,114.256814,22.3182558,52.1465835571289,300.536560058594,-0.0635684430599213,100250.484375,0.0731345787644386,148.901229858398,3.30719685554504,407.302185058594,1751836.5,4787.18798828125,0,5912,11
10,2021,262,113.9742504,22.3911527,57.5433464050293,300.612121582031,-0.0399411544203758,100467.890625,0.0493144243955612,145.436477661133,2.75588989257813,297.499664306641,2375346.5,5116.1513671875,0,2831,20
11,2021,262,114.1820905,22.3764958,54.0822067260742,300.37548828125,-0.0809616446495056,99942.5,0.0935480520129204,148.036010742188,2.94469571113586,146.51953125,3542057.5,5773.041015625,92.1150817871094,5571,14
12,2021,262,114.16871,22.322169,58.9203491210938,300.415466308594,-0.0749135538935661,99976.671875,0.0827565342187881,148.378372192383,3.04613304138184,747.296691894531,14594804,7989.83642578125,308.045318603516,2904,40
13,2021,262,114.1412676,22.2848775,58.837574005127,300.447113037109,-0.0511510036885738,100047.5390625,0.0567488186061382,148.333450317383,3.03850436210632,878.608520507813,9484429,7007.2744140625,567.064819335938,6011,16
14,2021,262,114.1573973,22.2475352,55.0416870117188,300.495635986328,-0.0494849532842636,100117.1875,0.0516410134732723,148.718414306641,3.15283703804016,65.4896621704102,3044803.5,3876.92065429688,260.136474609375,4650,9
15,2021,262,114.2167934,22.2827772,51.4270858764648,300.494110107422,-0.0760154575109482,100106.75,0.0808252692222595,148.980651855469,3.23634552955627,1421.89978027344,2995995.75,4814.8349609375,6.94431924819946,6793,25
16,2021,262,113.9405757,22.2885187,45.2585334777832,300.630859375,-0.0423849821090698,100368.203125,0.054516714066267,145.012817382813,2.99964046478271,45.6981201171875,965836.125,4032.33203125,0,3436,11
17,2021,262,114.1805181,22.2801689,54.1552124023438,300.472717285156,-0.0744464695453644,100064.6484375,0.0791193544864655,148.787567138672,3.16163992881775,429.867279052734,7206084,6894.8623046875,257.443572998047,2516,38
18,2021,262,114.1565745,22.2820584,57.0059623718262,300.458312988281,-0.0592939481139183,100056.3203125,0.0643360316753387,148.512847900391,3.0883092880249,83.5950317382813,8509086,8754.4130859375,506.304748535156,977,34
1,2021,263,114.0201883,22.4449437,234.710418701172,300.560272216797,-0.016168013215065,100251.5234375,0.0232337508350611,158.598205566406,1.01743876934052,47.300910949707,3953495.75,4815.68115234375,0,3567,33
3,2021,263,114.1258166,22.4969545,182.669921875,300.414672851563,-0.0632456168532372,100081.859375,0.0946428999304771,160.571578979492,1.02423119544983,156.301162719727,3624076.25,5897.4716796875,0,4179,32
4,2021,263,114.3581838,22.4712708,52.0022354125977,300.484252929688,-0.0309687722474337,100332.34375,0.0427023880183697,159.335571289063,1.40298318862915,2.12723422050476,199027.984375,417.544128417969,0,-3000,6
5,2021,263,114.2286697,22.309823,139.301895141602,300.547454833984,-0.0668292865157127,100031.765625,0.0777576640248299,161.783142089844,1.48884284496307,571.750061035156,3221332.75,5677.51318359375,41.4476928710938,3574,39
6,2021,263,114.1572091,22.3310969,224.191909790039,300.475158691406,-0.0678635463118553,99875.25,0.088977538049221,160.157379150391,1.33668076992035,557.522583007813,10587726,6553.90625,297.494720458984,3300,37
7,2021,263,114.1269531,22.3568159,270.939453125,300.450805664063,-0.0732703804969788,99863.3515625,0.101050116121769,159.312911987305,1.24353528022766,231.99870300293,2478207,5969.11767578125,177.659118652344,3123,37
8,2021,263,114.1120975,22.3716276,278.689331054688,300.448059082031,-0.0720823183655739,99893.5859375,0.10136254131794,159.229751586914,1.19331920146942,672.036499023438,5056594,6791.02880859375,166.265670776367,1655,32
9,2021,263,114.256814,22.3182558,120.594047546387,300.585845947266,-0.0626461803913116,100161.46875,0.0685233175754547,162.163772583008,1.53203403949738,407.302185058594,1751836.5,4787.18798828125,0,5912,16
10,2021,263,113.9742504,22.3911527,216.758178710938,300.660614013672,-0.0411782562732697,100380.8984375,0.0517146587371826,157.172027587891,1.07840073108673,297.499664306641,2375346.5,5116.1513671875,0,2831,30
11,2021,263,114.1820905,22.3764958,223.814437866211,300.422912597656,-0.072574570775032,99854.515625,0.0976278483867645,160.145248413086,1.29964864253998,146.51953125,3542057.5,5773.041015625,92.1150817871094,5571,28
12,2021,263,114.16871,22.322169,204.730331420898,300.486328125,-0.0676413550972939,99888.75,0.0866803079843521,160.509414672852,1.36809659004211,747.296691894531,14594804,7989.83642578125,308.045318603516,2904,50
13,2021,263,114.1412676,22.2848775,163.501647949219,300.518402099609,-0.0465624444186687,99959.734375,0.0580569580197334,160.447357177734,1.3617730140686,878.608520507813,9484429,7007.2744140625,567.064819335938,6011,26
15,2021,263,114.2167934,22.2827772,113.195442199707,300.557922363281,-0.0672596469521523,100018.4453125,0.0776035636663437,161.951507568359,1.49712646007538,1421.89978027344,2995995.75,4814.8349609375,6.94431924819946,6793,29
16,2021,263,113.9405757,22.2885187,148.945007324219,300.703399658203,-0.0406138747930527,100281.890625,0.0438329130411148,155.984237670898,1.23242628574371,45.6981201171875,965836.125,4032.33203125,0,3436,22
17,2021,263,114.1805181,22.2801689,128.008911132813,300.541351318359,-0.065435953438282,99976.6328125,0.0771396458148956,161.438461303711,1.44823038578033,429.867279052734,7206084,6894.8623046875,257.443572998047,2516,49
18,2021,263,114.1565745,22.2820584,145.023559570313,300.528442382813,-0.053006149828434,99968.4296875,0.0642160922288895,160.844940185547,1.39653038978577,83.5950317382813,8509086,8754.4130859375,506.304748535156,977,51
